"filename", "language", "C++", "CMake", "YAML", "JSON", "Swift", "Markdown", "XML", "Dart", "PowerShell", "Shell Script", "HTML", "JavaScript", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\prefs_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 4, 25, 129
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\reciter_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 7, 159
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\remote_config_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 15, 93
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\remote_config_service.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 6, 28
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\tafsir_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 6, 30
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\timezone_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 29, 27, 167
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\update_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 14, 81
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\update_service.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 7, 6, 26
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 4, 68
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\utils\surah_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 2, 17
