"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\tasmi_page.dart", "Dart", -5, 0, 0, 2, -3
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\tasmi_surah_selection_page.dart", "Dart", 4, 0, 0, -1, 3
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\ayah_range_bottom_sheet.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\surah_list_item.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_action_button.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_correction_bubble.dart", "Dart", 2, 0, 0, 0, 2
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_listening_indicator.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_page_header.dart", "Dart", 2, 0, 0, 1, 3
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_selection_header.dart", "Dart", 6, 0, 0, 1, 7
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\tasmi\presentation\pages\widgets\tasmi_stats_row.dart", "Dart", -1, 0, 0, 0, -1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\wird\presentation\riverpod\wird_controller.dart", "Dart", 2, 0, 5, 1, 8
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\wird\presentation\widgets\wird_card.dart", "Dart", 37, 0, 0, 0, 37
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\main.dart", "Dart", 8, 0, 1, 2, 11
"Total", "-", 1554, 24526, 42, 145, 26267
