Date : 2026-03-24 14:03:59
Directory : c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app
Total : 64 files,  26080 codes, 42 comments, 145 blanks, all 26267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |         12 |     24,526 |          0 |          1 |     24,527 |
| Dart     |         52 |      1,554 |         42 |        144 |      1,740 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\tajweed_tr.json                                                              | JSON     |      6,238 |          0 |          0 |      6,238 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\translations\ar-SA.json                                                           | JSON     |        718 |          0 |          0 |        718 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\translations\tr-TR.json                                                           | JSON     |        715 |          0 |          0 |        715 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\main_layout.dart                                                   | Dart     |         -3 |          0 |          0 |         -3 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\language_switcher.dart                                     | Dart     |        118 |          2 |          9 |        129 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\sila_bottom_bar.dart                                       | Dart     |         25 |          1 |          3 |         29 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\tafsir_service.dart                                                    | Dart     |          4 |          0 |          1 |          5 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\utils\surah_utils.dart                                                          | Dart     |         13 |          2 |          2 |         17 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\azkar\data\repositories\azkar_repository.dart                               | Dart     |          4 |          1 |          0 |          5 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\azkar\presentation\pages\azkar_detail_page.dart                             | Dart     |         92 |          6 |          7 |        105 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\azkar\presentation\pages\azkar_page.dart                                    | Dart     |         44 |          1 |          2 |         47 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\controllers\interactive_shadow_controller.dart            | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\pages\hifz_home_page.dart                                 | Dart     |          4 |          1 |          1 |          6 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\pages\hifz_onboarding_page.dart                           | Dart     |          4 |          0 |          0 |          4 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\pages\hifz_settings_page.dart                             | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\pages\methods\interactive_shadow_page.dart                | Dart     |          6 |          0 |          0 |          6 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\home\presentation\pages\home_page.dart                                      | Dart     |         13 |          0 |          0 |         13 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\home\presentation\widgets\daily_content_card.dart                           | Dart     |          3 |          0 |          0 |          3 |
